parameter,step,step_next,cos_sim,l1_change,l2_change,realtive_change,mean_squared_change,max_abs_change
gpt_neox.layers.1.attention.query_key_value.bias,25000,35000,0.98506933,275.5499572753906,17.854402542114258,0.3639853000640869,0.20753884315490723,4.10546875
gpt_neox.layers.1.attention.dense.weight,25000,35000,0.96292716,2045.3150634765625,5.04291296005249,0.2739125192165375,9.700960072223097e-05,0.069061279296875
gpt_neox.layers.1.attention.dense.bias,25000,35000,0.98971283,2.866325855255127,0.23340991139411926,0.16765287518501282,0.00010640663094818592,0.14501953125
gpt_neox.layers.1.mlp.dense_h_to_4h.weight,25000,35000,0.9462239,13147.671875,16.425304412841797,0.3275771737098694,0.0002572876983322203,0.2481689453125
gpt_neox.layers.1.mlp.dense_h_to_4h.bias,25000,35000,0.99701387,39.87809753417969,1.0543147325515747,0.239280104637146,0.0005427639116533101,0.1199951171875
gpt_neox.layers.1.mlp.dense_4h_to_h.weight,25000,35000,0.92998534,9536.828125,11.808876991271973,0.37582823634147644,0.00013298734847921878,0.29409027099609375
gpt_neox.layers.1.mlp.dense_4h_to_h.bias,25000,35000,0.98971283,2.866325855255127,0.23340991139411926,0.16765287518501282,0.00010640663094818592,0.14501953125
gpt_neox.layers.2.input_layernorm.weight,25000,35000,0.9996547,10.22021484375,0.6043041944503784,0.029873082414269447,0.0007132492028176785,0.1904296875
gpt_neox.layers.2.input_layernorm.bias,25000,35000,0.9707798,5.1886773109436035,0.3848330080509186,0.27750831842422485,0.00028925089281983674,0.12890625
gpt_neox.layers.2.post_attention_layernorm.weight,25000,35000,0.9997121,7.875,0.5423277020454407,0.023999793455004692,0.0005744518712162971,0.166015625
gpt_neox.layers.2.post_attention_layernorm.bias,25000,35000,0.989306,5.594821453094482,0.44091689586639404,0.19392094016075134,0.00037970260018482804,0.22802734375
gpt_neox.layers.2.attention.query_key_value.weight,25000,35000,0.9459917,9145.73828125,13.519694328308105,0.3270578980445862,0.00023241668532136828,0.128173828125
gpt_neox.layers.2.attention.query_key_value.bias,25000,35000,0.9863033,379.1199035644531,25.818628311157227,0.3580930829048157,0.43398547172546387,6.0625
gpt_neox.layers.2.attention.dense.weight,25000,35000,0.9728736,1939.0068359375,4.815303802490234,0.23363743722438812,8.84501714608632e-05,0.0565185546875
gpt_neox.layers.2.attention.dense.bias,25000,35000,0.98710436,3.6778206825256348,0.23505799472332,0.18730585277080536,0.00010791457316372544,0.098388671875
gpt_neox.layers.2.mlp.dense_h_to_4h.weight,25000,35000,0.9474804,11991.0869140625,15.646414756774902,0.3218703269958496,0.00023346510715782642,0.70703125
gpt_neox.layers.2.mlp.dense_h_to_4h.bias,25000,35000,0.9911382,33.8511848449707,1.3765720129013062,0.28929972648620605,0.0009252690942957997,0.8974609375
gpt_neox.layers.2.mlp.dense_4h_to_h.weight,25000,35000,0.93380624,9881.9453125,12.163997650146484,0.36773812770843506,0.00014110612391959876,0.1380615234375
gpt_neox.layers.2.mlp.dense_4h_to_h.bias,25000,35000,0.98710436,3.6778206825256348,0.23505799472332,0.18730585277080536,0.00010791457316372544,0.098388671875
gpt_neox.layers.3.input_layernorm.weight,25000,35000,0.99971235,9.63818359375,0.650335431098938,0.02459598518908024,0.0008260472677648067,0.154296875
gpt_neox.layers.3.input_layernorm.bias,25000,35000,0.9846194,13.821582794189453,0.7865392565727234,0.2342427372932434,0.0012082892935723066,0.2410888671875
gpt_neox.layers.3.post_attention_layernorm.weight,25000,35000,0.9997129,8.2236328125,0.5233044624328613,0.02396584115922451,0.0005348585546016693,0.1357421875
gpt_neox.layers.3.post_attention_layernorm.bias,25000,35000,0.98731947,8.196881294250488,0.48355793952941895,0.19597676396369934,0.00045669591054320335,0.16796875
gpt_neox.layers.3.attention.query_key_value.weight,25000,35000,0.94956553,8635.1279296875,12.85517692565918,0.3142716884613037,0.0002101296413457021,0.210418701171875
gpt_neox.layers.3.attention.query_key_value.bias,25000,35000,0.9973713,1556.048828125,100.64620971679688,0.33129820227622986,6.594832897186279,8.8125
gpt_neox.layers.3.attention.dense.weight,25000,35000,0.9634587,2438.43603515625,6.074440002441406,0.2727632224559784,0.00014075507351662964,0.1221923828125
gpt_neox.layers.3.attention.dense.bias,25000,35000,0.99347943,3.1245572566986084,0.2126503437757492,0.15694299340248108,8.83206375874579e-05,0.082275390625
gpt_neox.layers.3.mlp.dense_h_to_4h.weight,25000,35000,0.9492885,12100.26171875,15.038365364074707,0.31710630655288696,0.0002156710543204099,0.09576416015625
gpt_neox.layers.3.mlp.dense_h_to_4h.bias,25000,35000,0.9958194,37.06360626220703,1.1108181476593018,0.2613280117511749,0.000602498825173825,0.161865234375
gpt_neox.layers.3.mlp.dense_4h_to_h.weight,25000,35000,0.9405432,11360.328125,14.052462577819824,0.34973588585853577,0.00018832027853932232,0.12835693359375
gpt_neox.layers.3.mlp.dense_4h_to_h.bias,25000,35000,0.99347943,3.1245572566986084,0.2126503437757492,0.15694299340248108,8.83206375874579e-05,0.082275390625
gpt_neox.layers.4.input_layernorm.weight,25000,35000,0.9997705,14.662109375,0.8259060382843018,0.028151357546448708,0.0013322671875357628,0.1318359375
gpt_neox.layers.4.input_layernorm.bias,25000,35000,0.98944676,11.339510917663574,0.6695850491523743,0.26238539814949036,0.0008756722672842443,0.256591796875
gpt_neox.layers.4.post_attention_layernorm.weight,25000,35000,0.999679,8.8466796875,0.5739546418190002,0.02534382790327072,0.0006434060633182526,0.15234375
gpt_neox.layers.4.post_attention_layernorm.bias,25000,35000,0.98597205,10.281172752380371,0.5730926394462585,0.24960315227508545,0.0006414749659597874,0.15478515625
gpt_neox.layers.4.attention.query_key_value.weight,25000,35000,0.9601218,7842.13330078125,11.322936058044434,0.2808889150619507,0.00016302079893648624,0.09674072265625
gpt_neox.layers.4.attention.query_key_value.bias,25000,35000,0.9907722,1528.77294921875,87.32653045654297,0.39418748021125793,4.964794635772705,8.15625
gpt_neox.layers.4.attention.dense.weight,25000,35000,0.97147274,3029.359130859375,7.525729179382324,0.23807409405708313,0.0002160481526516378,0.129486083984375
gpt_neox.layers.4.attention.dense.bias,25000,35000,0.99272597,5.248565196990967,0.4691292643547058,0.21233664453029633,0.00042984820902347565,0.3330078125
gpt_neox.layers.4.mlp.dense_h_to_4h.weight,25000,35000,0.9476811,12385.244140625,15.766610145568848,0.32146304845809937,0.00023706529464107007,0.365966796875
gpt_neox.layers.4.mlp.dense_h_to_4h.bias,25000,35000,0.9937985,44.48447036743164,1.2944567203521729,0.2660829424858093,0.0008181731682270765,0.175018310546875
gpt_neox.layers.4.mlp.dense_4h_to_h.weight,25000,35000,0.94092506,13371.8681640625,16.85862159729004,0.34525957703590393,0.0002710424887482077,0.471832275390625
gpt_neox.layers.4.mlp.dense_4h_to_h.bias,25000,35000,0.99272597,5.248565196990967,0.4691292643547058,0.21233664453029633,0.00042984820902347565,0.3330078125
gpt_neox.layers.5.input_layernorm.weight,25000,35000,0.9731317,138.99560546875,10.409849166870117,0.27087661623954773,0.2116503268480301,2.8291015625
gpt_neox.layers.5.input_layernorm.bias,25000,35000,0.9233851,24.806594848632812,1.5093846321105957,0.47665461897850037,0.0044496916234493256,0.248077392578125
gpt_neox.layers.5.post_attention_layernorm.weight,25000,35000,0.9996394,27.4541015625,1.437506914138794,0.050786688923835754,0.004035988822579384,0.197265625
gpt_neox.layers.5.post_attention_layernorm.bias,25000,35000,0.97479117,16.046295166015625,0.9307946562767029,0.324709951877594,0.0016921459464356303,0.1729736328125
gpt_neox.layers.5.attention.query_key_value.weight,25000,35000,0.84720623,25471.166015625,63.04370880126953,0.5882446765899658,0.005054235924035311,1.2828369140625
gpt_neox.layers.5.attention.query_key_value.bias,25000,35000,0.99233544,3248.414306640625,163.26248168945312,0.379605233669281,17.353286743164062,8.8046875
gpt_neox.layers.5.attention.dense.weight,25000,35000,0.93458617,3077.79736328125,7.715365409851074,0.42560774087905884,0.0002270740078529343,0.2161865234375
gpt_neox.layers.5.attention.dense.bias,25000,35000,0.97389364,5.354572772979736,0.32242414355278015,0.27944064140319824,0.00020304166537243873,0.0859375
gpt_neox.layers.5.mlp.dense_h_to_4h.weight,25000,35000,0.95288956,11711.66796875,14.579488754272461,0.3055643141269684,0.00020270944514777511,0.179931640625
gpt_neox.layers.5.mlp.dense_h_to_4h.bias,25000,35000,0.9911471,44.28134536743164,1.2241005897521973,0.26203417778015137,0.000731651671230793,0.1337890625
gpt_neox.layers.5.mlp.dense_4h_to_h.weight,25000,35000,0.95234096,12965.2685546875,16.240745544433594,0.30841028690338135,0.0002515375963412225,0.337890625
gpt_neox.layers.5.mlp.dense_4h_to_h.bias,25000,35000,0.97389364,5.354572772979736,0.32242414355278015,0.27944064140319824,0.00020304166537243873,0.0859375
gpt_neox.final_layer_norm.weight,25000,35000,0.99970746,95.32568359375,4.477719783782959,0.07725267112255096,0.03916010633111,0.779296875
gpt_neox.final_layer_norm.bias,25000,35000,0.9931936,14.742074966430664,0.7736508846282959,0.146956667304039,0.0011690149549394846,0.16455078125
embed_out.weight,25000,35000,0.91283536,482019.8125,123.44798278808594,0.4283541738986969,0.000593041128013283,0.22564697265625
all_parameters,25000,35000,0.92108494,1355961.125,304.2784118652344,0.4912191927433014,0.0013442420167848468,8.8125
gpt_neox.embed_in.weight,35000,36000,0.97481173,291184.09375,73.10279083251953,0.224880650639534,0.00020799358026124537,0.09126472473144531
gpt_neox.layers.0.input_layernorm.weight,35000,36000,0.9999931,1.13037109375,0.06424378603696823,0.003784113796427846,8.061062544584274e-06,0.009765625
gpt_neox.layers.0.input_layernorm.bias,35000,36000,0.9999704,0.6578976511955261,0.05884228274226189,0.012247386388480663,6.762527846149169e-06,0.021484375
gpt_neox.layers.0.post_attention_layernorm.weight,35000,36000,0.99998593,0.810791015625,0.048596251755952835,0.00532083073630929,4.612491466104984e-06,0.01953125
gpt_neox.layers.0.post_attention_layernorm.bias,35000,36000,0.99970657,0.31236112117767334,0.02121219038963318,0.025482341647148132,8.788223340161494e-07,0.0096435546875
gpt_neox.layers.0.attention.query_key_value.weight,35000,36000,0.9914011,3790.9677734375,5.733617782592773,0.13106288015842438,4.1799285099841654e-05,0.0464324951171875
gpt_neox.layers.0.attention.query_key_value.bias,35000,36000,0.99984,18.175941467285156,1.1997761726379395,0.03239334747195244,0.0009371503256261349,0.3125
gpt_neox.layers.0.attention.dense.weight,35000,36000,0.9900784,914.8282470703125,2.3452131748199463,0.1410120129585266,2.0980489352950826e-05,0.02759552001953125
gpt_neox.layers.0.attention.dense.bias,35000,36000,0.99996096,0.26243335008621216,0.033178411424160004,0.015661798417568207,2.150013415302965e-06,0.0244140625
gpt_neox.layers.0.mlp.dense_h_to_4h.weight,35000,36000,0.994646,4206.5517578125,5.24000358581543,0.10349421203136444,2.6183210138697177e-05,0.027378082275390625
gpt_neox.layers.0.mlp.dense_h_to_4h.bias,35000,36000,0.9999115,2.0747671127319336,0.06463173031806946,0.01978125423192978,2.0396778381837066e-06,0.01611328125
gpt_neox.layers.0.mlp.dense_4h_to_h.weight,35000,36000,0.9949708,2622.11669921875,3.2544877529144287,0.100438691675663,1.0100224244524725e-05,0.018507003784179688
gpt_neox.layers.0.mlp.dense_4h_to_h.bias,35000,36000,0.99996096,0.26243335008621216,0.033178411424160004,0.015661798417568207,2.150013415302965e-06,0.0244140625
gpt_neox.layers.1.input_layernorm.weight,35000,36000,0.9999941,1.28955078125,0.07531728595495224,0.0035029263235628605,1.107947900891304e-05,0.0205078125
gpt_neox.layers.1.input_layernorm.bias,35000,36000,0.9998734,0.49148106575012207,0.03134917467832565,0.02186950482428074,1.9194744709238876e-06,0.0093994140625
gpt_neox.layers.1.post_attention_layernorm.weight,35000,36000,0.9999936,2.08544921875,0.11848947405815125,0.004920289386063814,2.742139622569084e-05,0.025390625
gpt_neox.layers.1.post_attention_layernorm.bias,35000,36000,0.9998802,0.6778755784034729,0.045987747609615326,0.020787455141544342,4.130611159780528e-06,0.0205078125
gpt_neox.layers.1.attention.query_key_value.weight,35000,36000,0.99284226,3671.8603515625,5.510716438293457,0.11968051642179489,3.861255390802398e-05,0.04873466491699219
gpt_neox.layers.1.attention.query_key_value.bias,35000,36000,0.9999101,27.030532836914062,1.7562766075134277,0.034656599164009094,0.0020081428810954094,0.4296875
gpt_neox.layers.1.attention.dense.weight,35000,36000,0.993036,868.6856689453125,2.1705148220062256,0.11820004880428314,1.797126606106758e-05,0.0233917236328125
gpt_neox.layers.1.attention.dense.bias,35000,36000,0.99992317,0.2734803557395935,0.02009897492825985,0.014331623911857605,7.890015467637568e-07,0.0107421875
gpt_neox.layers.1.mlp.dense_h_to_4h.weight,35000,36000,0.993636,4519.671875,5.6538472175598145,0.1129043847322464,3.048258622584399e-05,0.0519866943359375
gpt_neox.layers.1.mlp.dense_h_to_4h.bias,35000,36000,0.99996054,3.7224020957946777,0.10245256125926971,0.02276381477713585,5.125258212501649e-06,0.01318359375
gpt_neox.layers.1.mlp.dense_4h_to_h.weight,35000,36000,0.9901506,3566.375,4.4072699546813965,0.1404622495174408,1.852302739280276e-05,0.12302398681640625
gpt_neox.layers.1.mlp.dense_4h_to_h.bias,35000,36000,0.99992317,0.2734803557395935,0.02009897492825985,0.014331623911857605,7.890015467637568e-07,0.0107421875
gpt_neox.layers.2.input_layernorm.weight,35000,36000,0.99999416,1.21533203125,0.06937547028064728,0.003430037060752511,9.400304406881332e-06,0.017578125
gpt_neox.layers.2.input_layernorm.bias,35000,36000,0.99979496,0.4900789260864258,0.03681323304772377,0.026103928685188293,2.646902430569753e-06,0.012451171875
gpt_neox.layers.2.post_attention_layernorm.weight,35000,36000,0.99999505,1.267578125,0.07343399524688721,0.0032471846789121628,1.0532326996326447e-05,0.0146484375
gpt_neox.layers.2.post_attention_layernorm.bias,35000,36000,0.99993086,0.5340899229049683,0.04236777126789093,0.01836966723203659,3.5059142646787222e-06,0.02197265625
gpt_neox.layers.2.attention.query_key_value.weight,35000,36000,0.9887967,4041.740966796875,6.184748649597168,0.14977630972862244,4.8636222345521674e-05,0.05290794372558594
gpt_neox.layers.2.attention.query_key_value.bias,35000,36000,0.9999277,36.44303894042969,2.487551212310791,0.03342282027006149,0.004028587602078915,0.5625
gpt_neox.layers.2.attention.dense.weight,35000,36000,0.9955436,772.9042358398438,1.9441791772842407,0.09453681856393814,1.4418888895306736e-05,0.0213623046875
gpt_neox.layers.2.attention.dense.bias,35000,36000,0.9999243,0.29548370838165283,0.019341766834259033,0.015271773561835289,7.306717861865764e-07,0.0078125
gpt_neox.layers.2.mlp.dense_h_to_4h.weight,35000,36000,0.9941968,4180.13720703125,5.238279342651367,0.10771939158439636,2.6166304451180622e-05,0.063232421875
gpt_neox.layers.2.mlp.dense_h_to_4h.bias,35000,36000,0.99993616,3.2130348682403564,0.13484516739845276,0.027622951194643974,8.8785254774848e-06,0.08984375
gpt_neox.layers.2.mlp.dense_4h_to_h.weight,35000,36000,0.9916568,3451.05908203125,4.267265319824219,0.12944437563419342,1.736481317493599e-05,0.024383544921875
gpt_neox.layers.2.mlp.dense_4h_to_h.bias,35000,36000,0.9999243,0.29548370838165283,0.019341766834259033,0.015271773561835289,7.306717861865764e-07,0.0078125
gpt_neox.layers.3.input_layernorm.weight,35000,36000,0.9999963,1.27490234375,0.08084409683942795,0.0030535731930285692,1.2765172868967056e-05,0.0166015625
gpt_neox.layers.3.input_layernorm.bias,35000,36000,0.99988866,1.5318412780761719,0.08153340220451355,0.023828038945794106,1.2983781743969303e-05,0.015869140625
gpt_neox.layers.3.post_attention_layernorm.weight,35000,36000,0.9999947,1.35693359375,0.07657302170991898,0.003502472070977092,1.1452008038759232e-05,0.0126953125
gpt_neox.layers.3.post_attention_layernorm.bias,35000,36000,0.99991554,0.7143183350563049,0.04381334036588669,0.0175460334867239,3.749236157091218e-06,0.015625
gpt_neox.layers.3.attention.query_key_value.weight,35000,36000,0.9914692,3496.5625,5.3555908203125,0.13043023645877838,3.646953700808808e-05,0.04721832275390625
gpt_neox.layers.3.attention.query_key_value.bias,35000,36000,0.9999808,156.54478454589844,10.070088386535645,0.03210309147834778,0.06601998209953308,0.859375
gpt_neox.layers.3.attention.dense.weight,35000,36000,0.9938943,975.3786010742188,2.4587149620056152,0.11065532267093658,2.3060474632075056e-05,0.02630615234375
gpt_neox.layers.3.attention.dense.bias,35000,36000,0.9999394,0.2800229787826538,0.01758277416229248,0.012888875789940357,6.038162041477335e-07,0.005859375
gpt_neox.layers.3.mlp.dense_h_to_4h.weight,35000,36000,0.99398667,4155.6416015625,5.198068141937256,0.10974598675966263,2.576603219495155e-05,0.03143310546875
gpt_neox.layers.3.mlp.dense_h_to_4h.bias,35000,36000,0.99995893,3.445685386657715,0.10584110021591187,0.024336474016308784,5.469892130349763e-06,0.01513671875
gpt_neox.layers.3.mlp.dense_4h_to_h.weight,35000,36000,0.9944829,3381.19921875,4.215597629547119,0.1053219884634018,1.6946789401117712e-05,0.0222320556640625
gpt_neox.layers.3.mlp.dense_4h_to_h.bias,35000,36000,0.9999394,0.2800229787826538,0.01758277416229248,0.012888875789940357,6.038162041477335e-07,0.005859375
gpt_neox.layers.4.input_layernorm.weight,35000,36000,0.99999666,1.8232421875,0.10091251134872437,0.0034319963306188583,1.988932490348816e-05,0.0126953125
gpt_neox.layers.4.input_layernorm.bias,35000,36000,0.999931,1.0252211093902588,0.05916082486510277,0.022730164229869843,6.835944077465683e-06,0.01806640625
gpt_neox.layers.4.post_attention_layernorm.weight,35000,36000,0.9999941,1.34423828125,0.07913923263549805,0.003492990741506219,1.2232456356287003e-05,0.015625
gpt_neox.layers.4.post_attention_layernorm.bias,35000,36000,0.9998771,0.9871328473091125,0.055174410343170166,0.023603640496730804,5.945733391854446e-06,0.01611328125
gpt_neox.layers.4.attention.query_key_value.weight,35000,36000,0.99271667,3262.416748046875,4.864211082458496,0.12072885036468506,3.0084105674177408e-05,0.0437164306640625
gpt_neox.layers.4.attention.query_key_value.bias,35000,36000,0.9999287,168.87960815429688,9.461128234863281,0.041027624160051346,0.05827665328979492,0.796875
gpt_neox.layers.4.attention.dense.weight,35000,36000,0.9966636,1034.7431640625,2.5808424949645996,0.08175668120384216,2.5408460714970715e-05,0.0283203125
gpt_neox.layers.4.attention.dense.bias,35000,36000,0.9999301,0.5108740329742432,0.0431954450905323,0.019252413883805275,3.644231583166402e-06,0.0302734375
gpt_neox.layers.4.mlp.dense_h_to_4h.weight,35000,36000,0.9932051,4561.751953125,5.713993072509766,0.11668050289154053,3.113471393589862e-05,0.0621337890625
gpt_neox.layers.4.mlp.dense_h_to_4h.bias,35000,36000,0.99993193,4.1967973709106445,0.12601260840892792,0.02531878836452961,7.753505087748636e-06,0.02392578125
gpt_neox.layers.4.mlp.dense_4h_to_h.weight,35000,36000,0.99549925,3677.06103515625,4.628032684326172,0.09510068595409393,2.0424729882506654e-05,0.09228515625
gpt_neox.layers.4.mlp.dense_4h_to_h.bias,35000,36000,0.9999301,0.5108740329742432,0.0431954450905323,0.019252413883805275,3.644231583166402e-06,0.0302734375
gpt_neox.layers.5.input_layernorm.weight,35000,36000,0.99972415,11.001953125,1.0274393558502197,0.026405051350593567,0.0020617805421352386,0.361328125
gpt_neox.layers.5.input_layernorm.bias,35000,36000,0.9993773,2.374929428100586,0.1520775705575943,0.04653795808553696,4.517107299761847e-05,0.037109375
gpt_neox.layers.5.post_attention_layernorm.weight,35000,36000,0.9999959,2.06298828125,0.11729425936937332,0.0041317748837172985,2.6870984584093094e-05,0.0166015625
gpt_neox.layers.5.post_attention_layernorm.bias,35000,36000,0.9997237,1.5584406852722168,0.09150363504886627,0.03125498443841934,1.635335138416849e-05,0.0166015625
gpt_neox.layers.5.attention.query_key_value.weight,35000,36000,0.99758583,4165.0703125,8.028130531311035,0.0730341225862503,8.19547931314446e-05,0.1376953125
gpt_neox.layers.5.attention.query_key_value.bias,35000,36000,0.9999683,311.8275451660156,15.606366157531738,0.03504706546664238,0.15856686234474182,0.859375
gpt_neox.layers.5.attention.dense.weight,35000,36000,0.99089235,972.6044921875,2.4411723613739014,0.13610219955444336,2.273252175655216e-05,0.02752685546875
gpt_neox.layers.5.attention.dense.bias,35000,36000,0.9997936,0.4950753450393677,0.03074122592806816,0.0261966735124588,1.8457478745403932e-06,0.0086669921875
gpt_neox.layers.5.mlp.dense_h_to_4h.weight,35000,36000,0.993697,4254.373046875,5.351653575897217,0.11246660351753235,2.731111817411147e-05,0.03643798828125
gpt_neox.layers.5.mlp.dense_h_to_4h.bias,35000,36000,0.9999297,4.052437782287598,0.11316577345132828,0.023724926635622978,6.253170795389451e-06,0.011474609375
gpt_neox.layers.5.mlp.dense_4h_to_h.weight,35000,36000,0.9966976,3351.5244140625,4.2766032218933105,0.0814053863286972,1.7440856026951224e-05,0.02978515625
gpt_neox.layers.5.mlp.dense_4h_to_h.bias,35000,36000,0.9997936,0.4950753450393677,0.03074122592806816,0.0261966735124588,1.8457478745403932e-06,0.0086669921875
gpt_neox.final_layer_norm.weight,35000,36000,0.9999974,8.71142578125,0.4136514663696289,0.007088817656040192,0.0003341943956911564,0.0625
gpt_neox.final_layer_norm.bias,35000,36000,0.99993527,1.4048233032226562,0.07315899431705475,0.01378775853663683,1.045359022100456e-05,0.01513671875
embed_out.weight,35000,36000,0.97642505,245865.8125,62.48357391357422,0.21776928007602692,0.00015190630801953375,0.095703125
all_parameters,35000,36000,0.99158275,610725.9375,100.36965942382812,0.130475252866745,0.00014551154163200408,0.859375
gpt_neox.embed_in.weight,26000,36000,0.88400936,633107.75,158.76473999023438,0.4883961081504822,0.0009811207419261336,0.20550537109375
gpt_neox.layers.0.input_layernorm.weight,26000,36000,0.9997668,6.49072265625,0.38890519738197327,0.022907454520463943,0.0002954048104584217,0.1318359375
gpt_neox.layers.0.input_layernorm.bias,26000,36000,0.9957233,6.397836685180664,0.6595636010169983,0.13728104531764984,0.0008496565860696137,0.25341796875
gpt_neox.layers.0.post_attention_layernorm.weight,26000,36000,0.9993133,7.14208984375,0.43016067147254944,0.04709853231906891,0.00036140275187790394,0.177734375
gpt_neox.layers.0.post_attention_layernorm.bias,26000,36000,0.96803755,3.2620887756347656,0.20903344452381134,0.25111323595046997,8.534175140084699e-05,0.08740234375
gpt_neox.layers.0.attention.query_key_value.weight,26000,36000,0.95465976,8874.07421875,13.039838790893555,0.2980733811855316,0.00021620922780130059,0.0938720703125
gpt_neox.layers.0.attention.query_key_value.bias,26000,36000,0.9773582,180.2189483642578,11.958671569824219,0.32287806272506714,0.09310535341501236,3.25
gpt_neox.layers.0.attention.dense.weight,26000,36000,0.9505782,2099.963134765625,5.245831489562988,0.31541919708251953,0.00010497392213437706,0.078857421875
gpt_neox.layers.0.attention.dense.bias,26000,36000,0.9955728,2.5070745944976807,0.3712485432624817,0.17524708807468414,0.0002691903500817716,0.28125
gpt_neox.layers.0.mlp.dense_h_to_4h.weight,26000,36000,0.94402045,13582.4326171875,16.82383155822754,0.33228397369384766,0.00026992446510121226,0.0884246826171875
gpt_neox.layers.0.mlp.dense_h_to_4h.bias,26000,36000,0.9927435,19.65008544921875,0.622826099395752,0.19062280654907227,0.0001894104789244011,0.165283203125
gpt_neox.layers.0.mlp.dense_4h_to_h.weight,26000,36000,0.94051623,9085.1318359375,11.197142601013184,0.3455617129802704,0.0001195647637359798,0.135986328125
gpt_neox.layers.0.mlp.dense_4h_to_h.bias,26000,36000,0.9955728,2.5070745944976807,0.3712485432624817,0.17524708807468414,0.0002691903500817716,0.28125
gpt_neox.layers.1.input_layernorm.weight,26000,36000,0.99967283,7.88427734375,0.5499553680419922,0.025577835738658905,0.0005907244049012661,0.2177734375
gpt_neox.layers.1.input_layernorm.bias,26000,36000,0.9833331,5.4422760009765625,0.33657288551330566,0.2347966879606247,0.00022125257237348706,0.102783203125
gpt_neox.layers.1.post_attention_layernorm.weight,26000,36000,0.99967754,17.0693359375,0.9845285415649414,0.0408826619386673,0.0018931571394205093,0.2431640625
gpt_neox.layers.1.post_attention_layernorm.bias,26000,36000,0.98469937,6.255338191986084,0.48411720991134644,0.21883143484592438,0.00045775287435390055,0.24853515625
gpt_neox.layers.1.attention.query_key_value.weight,26000,36000,0.9539877,9382.158203125,13.898954391479492,0.3018544018268585,0.00024563720216974616,0.1109619140625
gpt_neox.layers.1.attention.query_key_value.bias,26000,36000,0.98721826,271.6357421875,17.60374641418457,0.34737467765808105,0.20175254344940186,4.08984375
gpt_neox.layers.1.attention.dense.weight,26000,36000,0.9642888,2003.3468017578125,4.944643020629883,0.2692711651325226,9.326545841759071e-05,0.0721435546875
gpt_neox.layers.1.attention.dense.bias,26000,36000,0.9904505,2.7830934524536133,0.22586102783679962,0.16105076670646667,9.963517368305475e-05,0.13916015625
gpt_neox.layers.1.mlp.dense_h_to_4h.weight,26000,36000,0.9484045,12868.4453125,16.08924102783203,0.32129374146461487,0.00024686657707206905,0.2313232421875
gpt_neox.layers.1.mlp.dense_h_to_4h.bias,26000,36000,0.99713886,39.3632926940918,1.0435200929641724,0.2318585216999054,0.0005317065515555441,0.122802734375
gpt_neox.layers.1.mlp.dense_4h_to_h.weight,26000,36000,0.932329,9336.5869140625,11.602097511291504,0.3697655498981476,0.00012837069516535848,0.4073486328125
gpt_neox.layers.1.mlp.dense_4h_to_h.bias,26000,36000,0.9904505,2.7830934524536133,0.22586102783679962,0.16105076670646667,9.963517368305475e-05,0.13916015625
gpt_neox.layers.2.input_layernorm.weight,26000,36000,0.9996743,9.4365234375,0.5706790089607239,0.028215305879712105,0.0006360830739140511,0.1875
gpt_neox.layers.2.input_layernorm.bias,26000,36000,0.9728914,5.1059465408325195,0.381197988986969,0.27030402421951294,0.0002838123182300478,0.1279296875
gpt_neox.layers.2.post_attention_layernorm.weight,26000,36000,0.9997287,7.60546875,0.5282490253448486,0.023358691483736038,0.0005450136959552765,0.1630859375
gpt_neox.layers.2.post_attention_layernorm.bias,26000,36000,0.99035764,5.461595058441162,0.43396905064582825,0.18815875053405762,0.0003678303910419345,0.22607421875
gpt_neox.layers.2.attention.query_key_value.weight,26000,36000,0.9479011,8980.466796875,13.283873558044434,0.32169610261917114,0.00022437774168793112,0.13037109375
gpt_neox.layers.2.attention.query_key_value.bias,26000,36000,0.98824024,372.8616638183594,25.443220138549805,0.3418559432029724,0.4214567244052887,5.9609375
gpt_neox.layers.2.attention.dense.weight,26000,36000,0.9739156,1898.127685546875,4.719113349914551,0.22946958243846893,8.495165093336254e-05,0.0560302734375
gpt_neox.layers.2.attention.dense.bias,26000,36000,0.98838615,3.5259499549865723,0.226401686668396,0.1787610948085785,0.00010011273843701929,0.09619140625
gpt_neox.layers.2.mlp.dense_h_to_4h.weight,26000,36000,0.94961107,11740.2431640625,15.343353271484375,0.3155190050601959,0.00022450908727478236,0.67578125
gpt_neox.layers.2.mlp.dense_h_to_4h.bias,26000,36000,0.9919261,33.46510314941406,1.3698619604110718,0.2806153893470764,0.0009162707137875259,0.8974609375
gpt_neox.layers.2.mlp.dense_4h_to_h.weight,26000,36000,0.9364798,9659.298828125,11.89294719696045,0.36076387763023376,0.00013488734839484096,0.1370849609375
gpt_neox.layers.2.mlp.dense_4h_to_h.bias,26000,36000,0.98838615,3.5259499549865723,0.226401686668396,0.1787610948085785,0.00010011273843701929,0.09619140625
gpt_neox.layers.3.input_layernorm.weight,26000,36000,0.999713,9.7333984375,0.6566299200057983,0.02480165660381317,0.0008421149104833603,0.1494140625
gpt_neox.layers.3.input_layernorm.bias,26000,36000,0.98554397,13.949609756469727,0.7839406132698059,0.22910571098327637,0.0012003182200714946,0.234375
gpt_neox.layers.3.post_attention_layernorm.weight,26000,36000,0.99972653,7.9521484375,0.5124771595001221,0.023440852761268616,0.0005129547789692879,0.1328125
